method,n_trgts,p2,mean_fid,std_fid,n_samples
telegate,1,0.001,0.8723039393967928,0.32335145012727795,149
telegate,1,0.003,0.8980974520723857,0.2648513299905361,150
telegate,1,0.005,0.9021357199249656,0.2279582087111533,150
telegate,2,0.001,0.9844742826961408,0.002491730480730899,138
telegate,2,0.003,0.9545662090139709,0.004560759296753584,150
telegate,2,0.005,0.9249455554936393,0.006225605646525341,145
telegate,3,0.001,0.9770577222395964,0.0033410094199577945,147
telegate,3,0.003,0.9321035442408275,0.00599917420025537,146
telegate,3,0.005,0.8910717181865262,0.007141364197056621,145
telegate,4,0.001,0.9685568127507225,0.0036150553034120154,146
telegate,4,0.003,0.913287114487103,0.005933965627042176,149
telegate,4,0.005,0.858033715771218,0.007790679249575264,150
telegate,5,0.001,0.9622920124108054,0.004027190960102957,150
telegate,5,0.003,0.8907452979459699,0.007026854712127366,150
telegate,5,0.005,0.82720226671228,0.009919128627686222,150
