n_parties,p2,fid
4,0.001,0.9968734918250776
4,0.003,0.9881717421730067
4,0.005,0.9837546397054968
6,0.001,0.9918311967493936
6,0.003,0.9790209914951131
6,0.005,0.9694138666967107
8,0.001,0.993785893832635
8,0.003,0.9762683980008636
8,0.005,0.958361605216683
10,0.001,0.98991010453169
10,0.003,0.9654125558103788
10,0.005,0.9482400784599316
12,0.001,0.9879731035297709
12,0.003,0.9588295850241464
12,0.005,0.9363090516105959
14,0.001,0.9852247232233158
14,0.003,0.9598888758912907
14,0.005,0.9229822447321634
16,0.001,0.9846345700281993
16,0.003,0.9509965310237627
16,0.005,0.9106988775560093
18,0.001,0.979262115858488
18,0.003,0.936087110296818
18,0.005,0.9030112929060816
